actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
291,14550,8.159393,50,0.0,504,25200,3.1543152,11.313708,3.1543152,36.728355440262604,0.0,0.0
291,14550,8.146299,50,0.0,507,25350,3.167409,11.313708,3.167409,211.16357093302966,0.0,0.0
291,14550,8.163824,50,0.0,512,25600,3.1498837,11.313708,3.1498837,162.6313189552955,0.0,0.0
291,14550,8.1444235,50,0.0,515,25750,3.1692848,11.313708,3.1692848,132.37139066360157,0.0,0.0
291,14550,8.137203,50,0.0,519,25950,3.1765056,11.313708,3.1765056,219.59591834597725,0.0,0.0
291,14550,8.1497965,50,0.0,524,26200,3.1639116,11.313708,3.1639116,143.6852281462866,0.0,0.0
291,14550,8.135692,50,0.0,528,26400,3.1780164,11.313708,3.1780164,166.8099999204588,0.0,0.0
291,14550,8.141737,50,0.0,532,26600,3.1719716,11.313708,3.1719716,183.75293199180925,0.0,0.0
291,14550,8.163443,50,0.0,536,26800,3.1502662,11.313708,3.1502662,205.1148833952122,0.0,0.0
291,14550,8.157917,50,0.0,540,27000,3.1557915,11.313708,3.1557915,163.4315488088753,0.0,0.0
292,14600,8.142633,50,0.0,544,27200,3.1710746,11.313708,3.1710746,84.64640789426949,0.0,0.0
294,14700,8.159063,50,0.0,545,27250,3.1546452,11.313708,3.1546452,43.52115178048169,0.0,0.0
295,14750,8.172144,50,0.0,547,27350,3.1415641,11.313708,3.1415641,151.3025723901837,0.0,0.0
295,14750,8.148939,50,0.0,552,27600,3.1647696,11.313708,3.1647696,195.91238857531476,0.0,0.0
295,14750,8.154194,50,0.0,556,27800,3.159514,11.313708,3.159514,162.64367949806694,0.0,0.0
295,14750,8.152927,50,0.0,559,27950,3.1607814,11.313708,3.1607814,176.665798986246,0.0,0.0
295,14750,8.161752,50,0.0,563,28150,3.1519566,11.313708,3.1519566,177.91472250029693,0.0,0.0
295,14750,8.171207,50,0.0,567,28350,3.1425004,11.313708,3.1425004,180.76200704550098,0.0,0.0
295,14750,8.103639,50,0.0,571,28550,3.2100694,11.313708,3.2100694,118.20354900582633,0.0,0.0
295,14750,8.142171,50,0.0,575,28750,3.1715374,11.313708,3.1715374,178.17244177106033,0.0,0.0
295,14750,8.170693,50,0.0,579,28950,3.143015,11.313708,3.143015,240.47178130005884,0.0,0.0
295,14750,8.129899,50,0.0,583,29150,3.1838095,11.313708,3.1838095,151.02744510618686,0.0,0.0
297,14850,8.1276455,50,0.0,586,29300,3.1860626,11.313708,3.1860626,56.98037837989111,0.0,0.0
298,14900,8.133281,50,0.0,588,29400,3.1804273,11.313708,3.1804273,130.77823937979315,0.0,0.0
298,14900,8.146917,50,0.0,592,29600,3.1667914,11.313708,3.1667914,162.9625485277708,0.0,0.0
298,14900,8.158974,50,0.0,596,29800,3.1547344,11.313708,3.1547344,194.90495703015,0.0,0.0
298,14900,8.160359,50,0.0,600,30000,3.1533487,11.313708,3.1533487,200.78489042841537,0.0,0.0
298,14900,8.1528015,50,0.0,605,30250,3.160907,11.313708,3.160907,224.4412385433032,0.0,0.0
298,14900,8.131815,50,0.0,609,30450,3.1818936,11.313708,3.1818936,170.7788236577896,0.0,0.0
298,14900,8.151009,50,0.0,613,30650,3.1626995,11.313708,3.1626995,214.07964165440842,0.0,0.0
298,14900,8.113216,50,0.0,617,30850,3.200492,11.313708,3.200492,219.1763871020335,0.0,0.0
298,14900,8.129171,50,0.0,622,31100,3.1845372,11.313708,3.1845372,212.21036952487347,0.0,0.0
298,14900,8.137642,50,0.0,627,31350,3.1760662,11.313708,3.1760662,196.1621601902925,0.0,0.0
300,15000,8.141994,50,0.0,630,31500,3.1717138,11.313708,3.1717138,54.543548839726675,0.0,0.0
301,15050,8.155046,50,0.0,632,31600,3.1586614,11.313708,3.1586614,112.95305866777834,0.0,0.0
301,15050,8.14118,50,0.0,635,31750,3.172528,11.313708,3.172528,125.27220986382936,0.0,0.0
301,15050,8.1425495,50,0.0,638,31900,3.1711583,11.313708,3.1711583,163.93759409898706,0.0,0.0
301,15050,8.141548,50,0.0,641,32050,3.1721601,11.313708,3.1721601,150.13888809342444,0.0,0.0
